PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
22;2;1;3.20 a 24;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
90;2;2;6.35 a 39;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;8
66;1;2;6.35 a 39;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
22;2;2;3.20 a 24;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
99;1;1;3.20 a 24;4.28 a 31;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
06;2;2;4.25 a 29;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;12
70;1;1;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;10
62;1;2;5.30 a 34;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;140
86;1;1;3.20 a 24;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;6
06;1;2;7.40 a 44;5.32 a 36;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;2
62;2;2;6.35 a 39;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
99;1;1;4.25 a 29;6.37 a 41;4.Sin especificar;3.Sin especificar;1
86;1;1;3.20 a 24;4.28 a 31;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
54;2;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
14;2;1;5.30 a 34;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
06;1;9;6.35 a 39;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
82;1;2;2.15 a 19;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;1
