PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
06;1;2;4.25 a 29;4.28 a 31;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;6
18;1;1;5.30 a 34;3.24 a 27;4.Sin especificar;1.Menos de 2500 gramos;1
90;1;1;7.40 a 44;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;3
90;1;2;3.20 a 24;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;19
06;1;2;7.40 a 44;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;2
26;2;1;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;2
30;1;1;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;21
26;1;2;2.15 a 19;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
06;1;1;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;3.Sin especificar;15
02;1;2;6.35 a 39;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;2
30;1;2;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;2
06;1;1;2.15 a 19;4.28 a 31;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;1
46;1;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
02;2;2;6.35 a 39;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;48
38;2;1;4.25 a 29;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
82;2;2;3.20 a 24;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;2
82;1;2;4.25 a 29;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
62;1;2;3.20 a 24;3.24 a 27;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
22;2;1;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
18;1;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;806
18;1;1;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;918
54;1;2;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;7
14;1;1;4.25 a 29;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;5
14;2;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
06;1;2;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;38
10;1;1;2.15 a 19;5.32 a 36;4.Sin especificar;2.2500 gramos y más;1
02;2;2;8.De 45 y más;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
54;1;2;5.30 a 34;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
54;1;2;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;680
22;1;1;4.25 a 29;8.Sin especificar;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
86;1;2;5.30 a 34;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
82;2;2;7.40 a 44;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
10;1;1;2.15 a 19;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
58;2;2;6.35 a 39;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
18;1;1;3.20 a 24;4.28 a 31;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
86;1;1;4.25 a 29;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;4
18;2;2;4.25 a 29;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
90;2;2;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;3
